pattern_id	join_pattern	n_tables	n_queries	sec_seq	none_seq	additional_at_least_seq	sec_postfilter	none_postfilter	additional_at_least_postfilter	sec_tree_batch_cext	sec_hybrid	switch_to_hybrid
0	(('mc.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'))	3	4	0.428087	0	0.0	3.665557	0	0.0	17.885283	19.525773	TreeBatchCext
1	(('mc.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	4	9.110944	0	0.0	10.538922	0	0.0	26.14136	27.869077	TreeBatchCext
2	(('mi.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	3	54.596083	0	0.0	52.315533	0	0.0	15.911789	16.769689	TreeBatchCext
3	(('mi_idx.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	3	5.1411999999999995	0	0.0	5.436968	0	0.0	12.172475	12.125712	TreeBatchCext
4	(('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'))	3	3	12.527527	0	0.0	23.768495	0	0.0	20.315549	20.668022	TreeBatchCext
5	(('ci.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	7	85.78506	0	0.0	74.447693	0	0.0	24.217314	25.65619	TreeBatchCext
6	(('ci.movie_id', '=', 't.id'),)	2	3	17.069567	0	0.0	18.761014	0	0.0	30.683801	30.656615	TreeBatchCext
7	(('ci.movie_id', '=', 't.id'), ('mc.movie_id', '=', 't.id'))	3	8	87.01530299999999	0	0.0	37.214087	0	0.0	137.179825	139.204477	TreeBatchCext
8	(('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'))	4	4	10.483381999999999	0	0.0	49.221114	0	0.0	37.346981	39.125382	TreeBatchCext
9	(('mi.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	4	3	11.303612000000001	0	0.0	134.058238	0	0.0	28.958633	30.606221	TreeBatchCext
10	(('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	4	7	172.58884000000003	0	0.0	1205.237646	0	0.0	38.258214	40.61056	TreeBatchCext
11	(('ci.movie_id', '=', 't.id'), ('mc.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	4	1	2.177322	0	0.0	538.114649	0	0.0	23.023602	20.760341	TreeBatchCext
12	(('ci.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'))	4	3	12.472560999999999	0	0.0	218.153159	0	0.0	35.476924	35.159646	TreeBatchCext
13	(('ci.movie_id', '=', 't.id'), ('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'))	4	3	71.4411	0	0.0	958.289362	0	0.0	126.642736	127.054591	TreeBatchCext
14	(('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	5	4	30.016999000000002	0	0.0	2973.172649	0	0.0	20.406704	21.220961	TreeBatchCext
15	(('ci.movie_id', '=', 't.id'), ('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	5	5	None	1	900.0	None	5	3600.0	89.19712	89.981921	TreeBatchCext
16	(('ci.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	5	3	108.85965999999999	0	0.0	None	3	3600.0	34.544893	36.41904	TreeBatchCext
17	(('ci.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	4	2	28.886324000000002	0	0.0	159.145362	0	0.0	9.900747	10.077815	TreeBatchCext
