pattern_id	join_pattern	n_tables	n_queries	sec_seq	none_seq	additional_at_least_seq	sec_postfilter	none_postfilter	additional_at_least_postfilter	sec_tree_batch_cext	sec_hybrid	switch_to_hybrid	sec_seq_parallel	none_seq_parallel	additional_at_least_seq_parallel	sec_postfilter_parallel	none_postfilter_parallel	additional_at_least_postfilter_parallel	sec_tree_batch_cext_parallel
0	(('mc.movie_id', '=', 't.id'),)	2	43	50.543126	0	0.0	2.918956	0	0.0	6.245402	4.574302	PostFilter	17.691812000000002	0	0.0	1.154257	0	0.0	6.745406
1	(('mc.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'))	3	24	18.840707	0	0.0	3.373853	0	0.0	24.827318	4.627445	PostFilter	6.980103999999999	0	0.0	1.39428	0	0.0	30.471845
2	(('mi_idx.movie_id', '=', 't.id'),)	2	26	15.477716000000001	0	0.0	1.592922	0	0.0	3.075223	2.080176	PostFilter	4.900358000000001	0	0.0	0.854219	0	0.0	3.164626
3	(('mc.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	42	130.98154900000003	0	0.0	15.92163	0	0.0	26.911863	21.243275	PostFilter	36.349230000000006	0	0.0	5.610451	0	0.0	31.098251
4	(('mk.movie_id', '=', 't.id'),)	2	42	54.49328499999998	0	0.0	3.835007	0	0.0	7.502014	5.139473	PostFilter	15.494160999999998	0	0.0	1.461281	0	0.0	6.681401
5	(('mi.movie_id', '=', 't.id'),)	2	38	100.82523599999998	0	0.0	12.542812	0	0.0	23.89169	16.637851	PostFilter	30.772219999999997	0	0.0	3.904266	0	0.0	24.852691
6	(('mi.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	50	364.61122400000005	0	0.0	131.924822	0	0.0	36.998805	39.563571	TreeBatchCext	86.57552700000001	0	0.0	36.584322	0	0.0	37.46534
7	(('mi_idx.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	30	46.79925899999999	0	0.0	6.067893	0	0.0	18.961334	8.067487	PostFilter	17.147749000000005	0	0.0	2.369987	0	0.0	22.280677
8	(('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'))	3	52	212.73906000000002	0	0.0	48.326923	0	0.0	51.335174	58.070935	TreeBatchCext	74.33214600000001	0	0.0	14.898303	0	0.0	53.005749
9	(('ci.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	36	683.7880529999999	0	0.0	81.168319	0	0.0	125.719595	111.748294	PostFilter	135.79116199999999	0	0.0	23.816655	0	0.0	64.96988
