pattern_id	join_pattern	n_tables	n_queries	sec_seq	none_seq	additional_at_least_seq	sec_postfilter	none_postfilter	additional_at_least_postfilter	sec_tree_batch_cext	sec_hybrid	switch_to_hybrid	sec_seq_parallel	none_seq_parallel	additional_at_least_seq_parallel	sec_postfilter_parallel	none_postfilter_parallel	additional_at_least_postfilter_parallel	sec_tree_batch_cext_parallel
0	(('mi_idx.movie_id', '=', 't.id'),)	2	20	12.49994	0	0.0	2.092576	0	0.0	3.885776	2.77795	PostFilter	4.676624000000002	0	0.0	0.814852	0	0.0	4.205535
1	()	1	115	125.65844600000001	0	0.0	27.795345	0	0.0	29.86568	30.788219	TreeBatchCext, PostFilter	29.642556999999982	0	0.0	6.141589	0	0.0	30.711446
1(t)	(t)	1	19				1.198805	0	0.0	0.478559	1.054535					0.2653	0	0.0	0.50217
1(mi_idx)	(mi_idx)	1	8				0.350424	0	0.0	0.191449	0.208861					0.131654	0	0.0	0.191576
1(mk)	(mk)	1	29				2.715644	0	0.0	0.888874	0.848229					0.721573	0	0.0	0.943412
1(mi)	(mi)	1	21				6.402428	0	0.0	2.174655	2.176735					1.399804	0	0.0	2.309191
1(mc)	(mc)	1	19				1.120848	0	0.0	0.8171	1.083531					0.306691	0	0.0	0.853009
1(ci)	(ci)	1	19				16.007196	0	0.0	25.3142	25.315844					3.316567	0	0.0	25.911139
2	(('ci.movie_id', '=', 't.id'), ('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'))	4	9	None	1	900.0	1698.480064	0	0.0	220.640863	224.211531	TreeBatchCext	226.689957	0	0.0	374.712387	0	0.0	173.849926
3	(('ci.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	5	18	None	6	5400.0	None	18	3600.0	356.23365	357.764171	TreeBatchCext	None	4	3600.0	None	18	3600.0	339.066907
4	(('ci.movie_id', '=', 't.id'), ('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'))	5	11	None	2	1800.0	None	11	3600.0	251.878443	255.729219	TreeBatchCext	500.383955	0	0.0	1807.348794	0	0.0	211.616769
5	(('mk.movie_id', '=', 't.id'),)	2	32	43.02988400000001	0	0.0	6.193619	0	0.0	7.488116	6.083321	PostFilter	12.662042	0	0.0	2.24453	0	0.0	8.068367
6	(('mc.movie_id', '=', 't.id'),)	2	22	22.439486000000002	0	0.0	3.47445	0	0.0	5.542317	3.411362	PostFilter	7.116357000000001	0	0.0	1.055048	0	0.0	6.023875
7	(('mi.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	4	14	195.74276899999998	0	0.0	208.067382	0	0.0	54.585723	56.832669	TreeBatchCext	40.434666	0	0.0	59.672149	0	0.0	58.103437
8	(('mi.movie_id', '=', 't.id'),)	2	29	89.32481	0	0.0	16.700971	0	0.0	23.535346	16.713623	PostFilter	25.930804999999996	0	0.0	4.019597	0	0.0	26.457316
9	(('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'))	3	7	24.158692000000002	0	0.0	28.608195	0	0.0	44.148283	46.9593	TreeBatchCext	7.958372	0	0.0	6.665705	0	0.0	48.363054
10	(('mi.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	16	162.734975	0	0.0	100.474596	0	0.0	47.571456	49.039366	TreeBatchCext	37.06263899999999	0	0.0	21.67076	0	0.0	49.979516
11	(('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	5	20	None	3	2700.0	None	20	3600.0	144.513654	145.790035	TreeBatchCext	1436.270188	0	0.0	1822.427736	0	0.0	159.544979
