pattern_id	join_pattern	n_tables	n_queries	sec_seq	none_seq	additional_at_least_seq	sec_postfilter	none_postfilter	additional_at_least_postfilter	sec_tree_batch_cext	sec_hybrid	switch_to_hybrid	sec_seq_parallel	none_seq_parallel	additional_at_least_seq_parallel	sec_postfilter_parallel	none_postfilter_parallel	additional_at_least_postfilter_parallel	sec_tree_batch_cext_parallel
0	(('b.userid', '=', 'u.id'),)	2	1	0.043499	0	0.0	0.047149	0	0.0	0.813993	1.363789	TreeBatchCext	0.037217	0	0.0	0.047385	0	0.0	0.789119
1	(('b.userid', '=', 'c.userid'),)	2	1	1.406038	0	0.0	2.008053	0	0.0	0.260756	0.404946	TreeBatchCext	0.762118	0	0.0	1.418019	0	0.0	0.368084
2	(('c.userid', '=', 'ph.userid'),)	2	2	0.779678	0	0.0	34.424933	0	0.0	0.291362	0.307634	TreeBatchCext	0.509247	0	0.0	24.487801	0	0.0	0.427115
3	(('c.userid', '=', 'v.userid'),)	2	1	1.057485	0	0.0	1.17625	0	0.0	0.193639	0.17686	TreeBatchCext	0.571472	0	0.0	0.855112	0	0.0	0.181541
4	(('b.userid', '=', 'p.owneruserid'),)	2	1	0.1491	0	0.0	0.56523	0	0.0	0.300719	0.332585	TreeBatchCext	0.147084	0	0.0	0.84641	0	0.0	0.363274
5	(('c.userid', '=', 'p.owneruserid'), ('p.id', '=', 'pl.postid'))	3	2	0.409239	0	0.0	0.246124	0	0.0	0.701643	0.709841	TreeBatchCext	0.417811	0	0.0	0.191887	0	0.0	0.88371
6	(('c.postid', '=', 'p.id'), ('p.id', '=', 'ph.postid'))	3	1	0.272454	0	0.0	0.23329	0	0.0	1.219901	1.214488	TreeBatchCext	0.183551	0	0.0	0.228965	0	0.0	1.450874
7	(('c.userid', '=', 'u.id'), ('p.owneruserid', '=', 'u.id'))	3	4	0.654642	0	0.0	14.947721	0	0.0	0.521627	0.682216	TreeBatchCext	0.46849099999999994	0	0.0	10.985828	0	0.0	0.807976
8	(('c.userid', '=', 'ph.userid'), ('c.userid', '=', 'u.id'))	3	1	0.244328	0	0.0	29.110932	0	0.0	0.24671	0.452303	TreeBatchCext	0.146888	0	0.0	21.263012	0	0.0	0.399706
9	(('c.userid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	3	4	3.398979	0	0.0	2.302209	0	0.0	0.396224	0.391697	TreeBatchCext	1.497908	0	0.0	1.60961	0	0.0	0.531478
10	(('b.userid', '=', 'c.userid'), ('c.userid', '=', 'u.id'))	3	2	1.361398	0	0.0	2.634735	0	0.0	0.368494	0.480067	TreeBatchCext	0.81335	0	0.0	1.857868	0	0.0	0.516069
11	(('p.id', '=', 't.excerptpostid'), ('p.owneruserid', '=', 'v.userid'))	3	1	0.027238	0	0.0	0.020339	0	0.0	0.403555	0.46485	TreeBatchCext	0.028853	0	0.0	0.037112	0	0.0	0.482627
12	(('p.id', '=', 'pl.postid'), ('ph.postid', '=', 'pl.postid'))	3	1	0.08307	0	0.0	0.064696	0	0.0	0.464733	0.5063	TreeBatchCext	0.079731	0	0.0	0.081336	0	0.0	0.5108
13	(('p.id', '=', 'pl.postid'), ('p.owneruserid', '=', 'u.id'))	3	1	0.053748	0	0.0	0.037298	0	0.0	0.613622	0.646259	TreeBatchCext	0.057892	0	0.0	0.053476	0	0.0	0.65634
14	(('p.id', '=', 'ph.postid'), ('p.owneruserid', '=', 'u.id'))	3	2	0.355337	0	0.0	0.161013	0	0.0	1.709666	1.698596	TreeBatchCext	0.258239	0	0.0	0.155807	0	0.0	2.042113
15	(('p.id', '=', 'v.postid'), ('u.id', '=', 'v.userid'))	3	1	0.085826	0	0.0	0.059455	0	0.0	0.123746	0.184622	TreeBatchCext	0.082878	0	0.0	0.086565	0	0.0	0.125308
16	(('p.owneruserid', '=', 'u.id'), ('p.owneruserid', '=', 'v.userid'))	3	1	0.389435	0	0.0	0.342546	0	0.0	0.360378	0.348881	TreeBatchCext	0.345541	0	0.0	0.220294	0	0.0	0.399318
