pattern_id	join_pattern	n_tables	n_queries	sec_seq	none_seq	additional_at_least_seq	sec_postfilter	none_postfilter	additional_at_least_postfilter	sec_tree_batch_cext	sec_hybrid	switch_to_hybrid	sec_seq_parallel	none_seq_parallel	additional_at_least_seq_parallel	sec_postfilter_parallel	none_postfilter_parallel	additional_at_least_postfilter_parallel	sec_tree_batch_cext_parallel
0	(('b.userid', '=', 'u.id'),)	2	71	2.1232570000000006	0	0.0	0.229804	0	0.0	0.995095	1.497857	TreeBatchCext	3.0534739999999996	0	0.0	0.303714	0	0.0	0.889583
1	(('b.userid', '=', 'u.id'), ('c.userid', '=', 'u.id'))	3	63	46.575150000000015	0	0.0	25.583646	0	0.0	0.697802	0.769703	TreeBatchCext	33.77093500000001	0	0.0	17.194851	0	0.0	0.894154
2	(('c.userid', '=', 'u.id'), ('ph.userid', '=', 'u.id'))	3	50	345.3697420000001	0	0.0	326.381469	0	0.0	0.916543	1.114564	TreeBatchCext	242.09940099999992	0	0.0	226.054437	0	0.0	1.160807
3	(('c.userid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	3	59	23.710296000000003	0	0.0	20.286866	0	0.0	0.534293	0.498513	TreeBatchCext	17.172266999999998	0	0.0	12.7956	0	0.0	0.701133
4	(('b.userid', '=', 'u.id'), ('p.owneruserid', '=', 'u.id'))	3	87	11.355576999999997	0	0.0	13.105893	0	0.0	0.977916	1.19738	TreeBatchCext	13.978721	0	0.0	15.807667	0	0.0	1.297979
5	(('c.userid', '=', 'u.id'), ('p.owneruserid', '=', 'u.id'))	3	38	16.177684	0	0.0	82.496055	0	0.0	0.804883	0.932969	TreeBatchCext	15.962093000000003	0	0.0	57.476083	0	0.0	0.966258
6	(('p.id', '=', 'pl.postid'),)	2	19	0.44393099999999996	0	0.0	0.034872	0	0.0	0.063034	0.115778	TreeBatchCext	0.661467	0	0.0	0.055383	0	0.0	0.065305
7	(('c.userid', '=', 'u.id'), ('p.id', '=', 'pl.postid'), ('p.owneruserid', '=', 'u.id'))	4	2	0.216078	0	0.0	0.195156	0	0.0	0.931455	0.967733	TreeBatchCext	0.22689	0	0.0	0.147572	0	0.0	1.058292
8	(('c.postid', '=', 'p.id'),)	2	48	2.2568610000000002	0	0.0	0.367286	0	0.0	0.480984	0.478884	TreeBatchCext	2.789011	0	0.0	0.27439	0	0.0	0.526528
9	(('c.postid', '=', 'p.id'), ('p.id', '=', 'ph.postid'))	3	71	10.561006	0	0.0	1.582996	0	0.0	2.33398	2.624677	TreeBatchCext	9.982959000000003	0	0.0	1.150019	0	0.0	2.580241
10	(('p.id', '=', 'ph.postid'),)	2	41	2.59008	0	0.0	0.505191	0	0.0	0.715333	0.829935	TreeBatchCext	2.972134999999999	0	0.0	0.384486	0	0.0	0.867851
11	(('c.userid', '=', 'u.id'),)	2	57	2.3789409999999993	0	0.0	0.443212	0	0.0	0.388115	0.631047	TreeBatchCext	2.7486750000000004	0	0.0	0.291193	0	0.0	0.487335
12	(('p.owneruserid', '=', 'u.id'),)	2	71	2.0317479999999994	0	0.0	0.382411	0	0.0	0.330427	0.433038	TreeBatchCext	3.108057000000001	0	0.0	0.476028	0	0.0	0.372762
13	(('ph.userid', '=', 'u.id'),)	2	41	2.274822	0	0.0	0.522843	0	0.0	0.592708	0.725042	TreeBatchCext	2.4936499999999997	0	0.0	0.35257	0	0.0	0.744698
14	(('u.id', '=', 'v.userid'),)	2	47	1.0533879999999998	0	0.0	0.085855	0	0.0	0.103856	0.130749	TreeBatchCext	1.6852410000000007	0	0.0	0.077469	0	0.0	0.137821
15	(('p.id', '=', 't.excerptpostid'),)	2	5	0.014322999999999999	0	0.0	0.011661	0	0.0	0.004987	0.052934	TreeBatchCext	0.030992	0	0.0	0.024015	0	0.0	0.008287
16	(('p.owneruserid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	3	41	5.114646999999999	0	0.0	4.015561	0	0.0	0.648791	0.795341	TreeBatchCext	4.391948	0	0.0	2.838656	0	0.0	0.769215
17	(('p.id', '=', 't.excerptpostid'), ('p.owneruserid', '=', 'u.id'), ('u.id', '=', 'v.userid'))	4	7	0.21189799999999998	0	0.0	0.0505	0	0.0	0.49657	0.646417	TreeBatchCext	0.310402	0	0.0	0.064822	0	0.0	0.598492
18	(('p.id', '=', 'ph.postid'), ('p.id', '=', 'pl.postid'))	3	31	1.1517629999999996	0	0.0	0.131948	0	0.0	1.519551	0.216041	PostFilter	1.344131	0	0.0	0.11832	0	0.0	1.713988
19	(('p.id', '=', 'pl.postid'), ('p.owneruserid', '=', 'u.id'))	3	3	0.102183	0	0.0	0.045202	0	0.0	0.779887	0.099679	PostFilter	0.16688799999999998	0	0.0	0.063041	0	0.0	1.012546
20	(('p.id', '=', 'ph.postid'), ('p.owneruserid', '=', 'u.id'))	3	14	1.2400719999999996	0	0.0	0.388014	0	0.0	2.247133	2.847701	TreeBatchCext	1.3244610000000003	0	0.0	0.294217	0	0.0	2.999891
21	(('p.id', '=', 'v.postid'),)	2	45	3.218452	0	0.0	0.632814	0	0.0	0.908284	0.984229	TreeBatchCext	3.5166560000000007	0	0.0	0.465264	0	0.0	0.989168
