pattern_id	join_pattern	n_tables	n_queries	sec_seq	none_seq	additional_at_least_seq	sec_postfilter	none_postfilter	additional_at_least_postfilter	sec_tree_batch_cext	sec_hybrid	switch_to_hybrid	sec_seq_parallel	none_seq_parallel	additional_at_least_seq_parallel	sec_postfilter_parallel	none_postfilter_parallel	additional_at_least_postfilter_parallel	sec_tree_batch_cext_parallel	sec_postfilter_materialized	none_postfilter_materialized	additional_at_least_postfilter_materialized
0	()	1	1274	1906.1668240000026	0	0.0	580.338789	0	0.0	30.521989	31.343615	TreeBatchCext	438.54489500000005	0	0.0	126.869879	0	0.0	32.534661	611.859232	0	0.0
0(ci)	(ci)	1	466				508.368145	0	0.0	26.105311	25.96031					108.185818	0	0.0	27.839612	537.080218	0	0.0
0(mk)	(mk)	1	412				38.410008	0	0.0	0.863036	0.884362					10.131232	0	0.0	0.933791	40.02406	0	0.0
0(mc)	(mc)	1	354				28.236899	0	0.0	0.839587	0.820929					7.375347	0	0.0	0.881138	29.271569	0	0.0
0(t)	(t)	1	40				3.107299	0	0.0	0.488941	0.49114					0.67822	0	0.0	0.498513	3.152397	0	0.0
0(mi)	(mi)	1	2				2.216438	0	0.0	2.200565	2.266479					0.499262	0	0.0	2.354985	2.330988	0	0.0
1	(('mi.movie_id', '=', 't.id'),)	2	192	474.1373949999999	0	0.0	106.429105	0	0.0	24.162579	25.19494	TreeBatchCext	103.022645	0	0.0	23.121095	0	0.0	27.158353	122.039701	0	0.0
2	(('ci.movie_id', '=', 't.id'),)	2	403	2381.096652000002	0	0.0	571.801671	0	0.0	67.812101	66.372166	TreeBatchCext	547.0946979999995	0	0.0	119.258504	0	0.0	78.435932	610.950282	0	0.0
3	(('ci.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'))	3	251	3928.8304130000006	0	0.0	None	251	3600.0	379.490425	383.344089	TreeBatchCext	984.5184110000006	0	0.0	899.527679	0	0.0	360.679857	None	251	3600.0
4	(('ci.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'))	3	213	2172.1665949999997	0	0.0	349.325567	0	0.0	189.890085	192.78071	TreeBatchCext	693.115845	0	0.0	73.989048	0	0.0	137.355179	393.922546	0	0.0
5	(('mc.movie_id', '=', 't.id'),)	2	321	253.74415499999986	0	0.0	32.682774	0	0.0	6.229458	6.213523	TreeBatchCext	74.58491500000004	0	0.0	8.644875	0	0.0	6.718545	34.935143	0	0.0
6	(('mc.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'))	3	185	188.985143	0	0.0	31.124036	0	0.0	22.428105	34.810981	TreeBatchCext	73.57949500000002	0	0.0	8.373715	0	0.0	39.160148	36.492187	0	0.0
7	(('mc.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	255	461.3917580000001	0	0.0	325.028274	0	0.0	59.464783	59.142692	TreeBatchCext	133.58289000000008	0	0.0	84.669277	0	0.0	65.783625	365.446958	0	0.0
8	(('mk.movie_id', '=', 't.id'),)	2	396	430.57486700000004	0	0.0	64.742094	0	0.0	8.551191	8.535546	TreeBatchCext	131.61784100000006	0	0.0	16.943487	0	0.0	9.488789	69.161364	0	0.0
9	(('mc.movie_id', '=', 't.id'), ('mi.movie_id', '=', 't.id'))	3	205	573.430278	0	0.0	515.989749	0	0.0	76.094097	76.659545	TreeBatchCext	165.88224599999998	0	0.0	107.9881	0	0.0	81.146225	588.822327	0	0.0
10	(('mi.movie_id', '=', 't.id'), ('mi_idx.movie_id', '=', 't.id'))	3	168	405.21574400000003	0	0.0	134.722287	0	0.0	50.787134	51.343577	TreeBatchCext	115.767421	0	0.0	28.998482	0	0.0	52.409882	157.679023	0	0.0
11	(('mi_idx.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	304	363.75048400000003	0	0.0	120.621563	0	0.0	37.132944	38.263313	TreeBatchCext	121.74438900000001	0	0.0	30.883979	0	0.0	41.246447	130.395476	0	0.0
12	(('ci.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	266	2772.4700179999986	0	0.0	2115.82139	0	0.0	282.365884	281.208021	TreeBatchCext	709.6116560000004	0	0.0	448.821666	0	0.0	241.339634	2404.71736	0	0.0
13	(('mi.movie_id', '=', 't.id'), ('mk.movie_id', '=', 't.id'))	3	240	1548.8937290000003	0	0.0	2031.170057	0	0.0	85.2793	84.898759	TreeBatchCext	365.61640400000005	0	0.0	423.807329	0	0.0	91.203637	2297.878696	0	0.0
14	(('ci.movie_id', '=', 't.id'), ('mc.movie_id', '=', 't.id'))	3	228	1739.9867079999997	0	0.0	737.730646	0	0.0	245.537502	246.435383	TreeBatchCext	592.5012679999999	0	0.0	155.022142	0	0.0	196.233585	827.317272	0	0.0
15	(('mi_idx.movie_id', '=', 't.id'),)	2	99	62.22888199999999	0	0.0	6.229566	0	0.0	3.239908	3.376893	TreeBatchCext	20.578275	0	0.0	2.180741	0	0.0	3.488011	7.338518	0	0.0
